event_id,event_time,partition,source_system,source_vm,client_ip,database_name,login_name,lifecycle_phase,event_type,command_type,object_name,sql_text,query_length,rows_returned,failed_login_count,privilege_changed,maintenance_window,risk_label,severity,is_attack,attack_scenario,risk_score,baseline_score,baseline_decision,normalized_label,dataset_version
EVT-000017,2026-06-01T00:04:31+00:00,train,pgsql,aidac-pgsql,192.168.136.35,core_banking,svc_batch,normal_operation,write,UPDATE,orders,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 7541;,74,2,0,0,0,normal,INFO,0,none,0.2436,0.1802,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000018,2026-06-01T00:05:01+00:00,train,pgsql,aidac-pgsql,192.168.136.205,core_banking,svc_report,normal_operation,write,UPDATE,users,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 508994;,76,6,0,0,0,normal,LOW,0,none,0.1879,0.1709,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000019,2026-06-01T00:05:19+00:00,train,pgsql,aidac-pgsql,192.168.136.139,inventory,readonly_user,normal_operation,maintenance,ALTER,payments,ALTER INDEX idx_orders_customer REBUILD;,40,11,0,0,0,normal,INFO,0,none,0.1498,0.1027,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000020,2026-06-01T00:05:42+00:00,train,mssql,aidac-mssql,192.168.136.157,core_banking,svc_backup,deployment_window,read,SELECT,audit_log,"SELECT customer_id, status FROM customers WHERE customer_id = 114577;",69,127,0,0,1,normal,INFO,0,none,0.0732,0.0437,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000021,2026-06-01T00:05:53+00:00,train,mssql,aidac-mssql,192.168.136.186,crm,report_user,deployment_window,write,INSERT,users,"INSERT INTO audit_log(user_id, action, created_at) VALUES (897547, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,17,0,0,1,normal,INFO,0,none,0.0423,0.0,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000022,2026-06-01T00:06:20+00:00,train,mssql,aidac-mssql,192.168.136.62,crm,etl_user,normal_operation,maintenance,ALTER,audit_log,ALTER INDEX idx_orders_customer REBUILD;,40,12,0,0,0,normal,INFO,0,none,0.3078,0.2388,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000023,2026-06-01T00:06:31+00:00,train,mssql,aidac-mssql,192.168.136.144,inventory,dba_admin,normal_operation,maintenance,ALTER,orders,ALTER INDEX idx_orders_customer REBUILD;,40,17,0,0,0,normal,INFO,0,none,0.2284,0.2076,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000024,2026-06-01T00:06:35+00:00,train,pgsql,aidac-pgsql,192.168.136.148,auditdb,svc_report,backup_window,reporting,SELECT,users,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,25,0,0,1,normal,INFO,0,none,0.2028,0.1988,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000025,2026-06-01T00:06:54+00:00,train,pgsql,aidac-pgsql,192.168.136.165,crm,report_user,normal_operation,read,SELECT,orders,"SELECT customer_id, status FROM customers WHERE customer_id = 246630;",69,206,0,0,0,normal,INFO,0,none,0.0496,0.0062,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000026,2026-06-01T00:07:10+00:00,train,mssql,aidac-mssql,192.168.136.121,billing,svc_batch,maintenance_window,maintenance,BACKUP,orders,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,10,0,0,1,normal,LOW,0,none,0.0888,0.0568,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000027,2026-06-01T00:07:37+00:00,train,pgsql,aidac-pgsql,192.168.136.109,core_banking,svc_etl,normal_operation,read,SELECT,customers,"SELECT customer_id, status FROM customers WHERE customer_id = 223509;",69,259,0,0,0,normal,INFO,0,none,0.0975,0.0716,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000028,2026-06-01T00:07:45+00:00,train,pgsql,aidac-pgsql,192.168.136.46,billing,dba_admin,normal_operation,write,INSERT,orders,"INSERT INTO audit_log(user_id, action, created_at) VALUES (581543, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,9,0,0,0,normal,LOW,0,none,0.3175,0.3094,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000029,2026-06-01T00:07:51+00:00,train,mssql,aidac-mssql,192.168.136.182,billing,etl_user,normal_operation,maintenance,BACKUP,transactions,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,10,0,0,0,normal,LOW,0,none,0.0772,0.0596,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000030,2026-06-01T00:08:21+00:00,train,mssql,aidac-mssql,192.168.136.87,core_banking,svc_backup,normal_operation,read,SELECT,orders,"SELECT customer_id, status FROM customers WHERE customer_id = 349760;",69,394,0,0,0,normal,LOW,0,none,0.0532,0.0146,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000031,2026-06-01T00:08:37+00:00,train,pgsql,aidac-pgsql,192.168.136.29,core_banking,report_user,maintenance_window,reporting,SELECT,transactions,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,462,0,0,1,normal,INFO,0,none,0.0592,0.0291,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000032,2026-06-01T00:08:41+00:00,train,mssql,aidac-mssql,192.168.136.163,hr,app_user,normal_operation,write,UPDATE,audit_log,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 261651;,76,3,0,0,0,normal,INFO,0,none,0.1267,0.0619,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000033,2026-06-01T00:08:51+00:00,train,mssql,aidac-mssql,192.168.136.125,crm,etl_user,normal_operation,maintenance,ALTER,payments,ALTER INDEX idx_orders_customer REBUILD;,40,10,0,0,0,normal,INFO,0,none,0.2682,0.2495,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000034,2026-06-01T00:09:19+00:00,train,pgsql,aidac-pgsql,192.168.136.137,core_banking,svc_backup,deployment_window,maintenance,BACKUP,transactions,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,6,0,0,1,normal,LOW,0,none,0.2795,0.2221,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000035,2026-06-01T00:09:49+00:00,train,pgsql,aidac-pgsql,192.168.136.217,crm,app_user,normal_operation,read,SELECT,transactions,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,442,0,0,0,normal,LOW,0,none,0.0329,0.0,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000036,2026-06-01T00:10:04+00:00,train,pgsql,aidac-pgsql,192.168.136.87,billing,backup_user,normal_operation,maintenance,BACKUP,customers,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,5,0,0,0,normal,INFO,0,none,0.2016,0.1598,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000037,2026-06-01T00:10:18+00:00,train,pgsql,aidac-pgsql,192.168.136.201,hr,svc_backup,normal_operation,maintenance,BACKUP,audit_log,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,6,0,0,0,normal,INFO,0,none,0.0941,0.0577,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000038,2026-06-01T00:10:46+00:00,train,mssql,aidac-mssql,192.168.136.179,auditdb,readonly_user,normal_operation,reporting,SELECT,transactions,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,340,0,0,0,normal,INFO,0,none,0.3139,0.2635,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000039,2026-06-01T00:10:58+00:00,train,mssql,aidac-mssql,192.168.136.127,hr,svc_backup,normal_operation,reporting,SELECT,payments,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,283,0,0,0,normal,LOW,0,none,0.052,0.0046,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000040,2026-06-01T00:11:06+00:00,train,mssql,aidac-mssql,192.168.136.130,billing,dba_admin,normal_operation,reporting,SELECT,users,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,155,0,0,0,normal,LOW,0,none,0.1047,0.0722,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000041,2026-06-01T00:11:23+00:00,train,mssql,aidac-mssql,192.168.136.92,crm,svc_report,backup_window,maintenance,BACKUP,users,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,5,0,0,1,normal,LOW,0,none,0.2274,0.2209,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000042,2026-06-01T00:11:50+00:00,train,pgsql,aidac-pgsql,192.168.136.141,auditdb,dba_admin,deployment_window,read,SELECT,users,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,12,0,0,1,normal,INFO,0,none,0.0253,0.0,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000043,2026-06-01T00:12:13+00:00,train,mssql,aidac-mssql,192.168.136.212,crm,svc_backup,normal_operation,reporting,SELECT,customers,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,335,0,0,0,normal,LOW,0,none,0.2369,0.2216,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000044,2026-06-01T00:12:41+00:00,train,pgsql,aidac-pgsql,192.168.136.225,billing,svc_etl,normal_operation,maintenance,BACKUP,audit_log,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,3,0,0,0,normal,LOW,0,none,0.1606,0.0941,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000045,2026-06-01T00:12:58+00:00,train,mssql,aidac-mssql,192.168.136.210,auditdb,svc_report,deployment_window,reporting,SELECT,audit_log,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,228,0,0,1,normal,LOW,0,none,0.3061,0.288,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000046,2026-06-01T00:13:08+00:00,train,mssql,aidac-mssql,192.168.136.93,auditdb,dba_admin,normal_operation,maintenance,ALTER,orders,ALTER INDEX idx_orders_customer REBUILD;,40,14,0,0,0,normal,LOW,0,none,0.0356,0.0121,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000047,2026-06-01T00:13:28+00:00,train,pgsql,aidac-pgsql,192.168.136.126,crm,etl_user,normal_operation,read,SELECT,audit_log,"SELECT customer_id, status FROM customers WHERE customer_id = 160228;",69,361,0,0,0,normal,LOW,0,none,0.0806,0.0426,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000048,2026-06-01T00:13:44+00:00,train,mssql,aidac-mssql,192.168.136.239,crm,svc_backup,maintenance_window,read,SELECT,users,"SELECT customer_id, status FROM customers WHERE customer_id = 612452;",69,484,0,0,1,normal,LOW,0,none,0.2395,0.2061,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000049,2026-06-01T00:13:58+00:00,train,pgsql,aidac-pgsql,192.168.136.119,inventory,svc_backup,normal_operation,write,UPDATE,transactions,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 286194;,76,13,0,0,0,normal,LOW,0,none,0.1703,0.1196,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000050,2026-06-01T00:14:27+00:00,train,pgsql,aidac-pgsql,192.168.136.41,crm,svc_batch,maintenance_window,write,INSERT,payments,"INSERT INTO audit_log(user_id, action, created_at) VALUES (620645, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,18,0,0,1,normal,LOW,0,none,0.2288,0.2193,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000051,2026-06-01T00:14:44+00:00,train,mssql,aidac-mssql,192.168.136.117,core_banking,dba_admin,normal_operation,read,SELECT,transactions,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,167,0,0,0,normal,LOW,0,none,0.1214,0.1037,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000052,2026-06-01T00:14:49+00:00,train,pgsql,aidac-pgsql,192.168.136.219,core_banking,svc_report,incident_response,write,INSERT,payments,"INSERT INTO audit_log(user_id, action, created_at) VALUES (366961, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,7,0,0,0,normal,INFO,0,none,0.2245,0.1717,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000053,2026-06-01T00:14:59+00:00,train,pgsql,aidac-pgsql,192.168.136.75,core_banking,svc_batch,normal_operation,read,SELECT,audit_log,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,342,0,0,0,normal,LOW,0,none,0.0477,0.0,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000054,2026-06-01T00:15:07+00:00,train,pgsql,aidac-pgsql,192.168.136.99,billing,report_user,incident_response,reporting,SELECT,users,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,296,0,0,0,normal,LOW,0,none,0.0185,0.0,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000055,2026-06-01T00:15:32+00:00,train,pgsql,aidac-pgsql,192.168.136.173,core_banking,svc_batch,normal_operation,read,SELECT,customers,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,154,0,0,0,normal,INFO,0,none,0.2906,0.2663,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000056,2026-06-01T00:15:48+00:00,train,mssql,aidac-mssql,192.168.136.112,hr,report_user,normal_operation,maintenance,BACKUP,payments,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,15,0,0,0,normal,LOW,0,none,0.0448,0.0,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000057,2026-06-01T00:16:04+00:00,train,mssql,aidac-mssql,192.168.136.139,auditdb,svc_report,normal_operation,read,SELECT,audit_log,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,275,0,0,0,normal,LOW,0,none,0.2656,0.243,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000058,2026-06-01T00:16:14+00:00,train,mssql,aidac-mssql,192.168.136.117,core_banking,dba_admin,normal_operation,maintenance,ALTER,transactions,ALTER INDEX idx_orders_customer REBUILD;,40,18,0,0,0,normal,INFO,0,none,0.2114,0.1768,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000059,2026-06-01T00:16:27+00:00,train,mssql,aidac-mssql,192.168.136.199,inventory,readonly_user,backup_window,read,SELECT,transactions,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,143,0,0,1,normal,INFO,0,none,0.3005,0.2643,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000060,2026-06-01T00:16:36+00:00,train,mssql,aidac-mssql,192.168.136.202,crm,svc_backup,normal_operation,read,SELECT,audit_log,"SELECT customer_id, status FROM customers WHERE customer_id = 251998;",69,353,0,0,0,normal,LOW,0,none,0.1671,0.1116,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000061,2026-06-01T00:16:41+00:00,train,pgsql,aidac-pgsql,192.168.136.155,crm,svc_backup,normal_operation,write,UPDATE,transactions,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 609806;,76,11,0,0,0,normal,LOW,0,none,0.1662,0.0964,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000062,2026-06-01T00:17:01+00:00,train,mssql,aidac-mssql,192.168.136.100,hr,svc_etl,normal_operation,write,UPDATE,customers,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 241737;,76,3,0,0,0,normal,INFO,0,none,0.248,0.2346,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000063,2026-06-01T00:17:27+00:00,train,mssql,aidac-mssql,192.168.136.112,hr,svc_batch,incident_response,write,INSERT,orders,"INSERT INTO audit_log(user_id, action, created_at) VALUES (873075, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,6,0,0,0,normal,LOW,0,none,0.1078,0.1068,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000064,2026-06-01T00:17:47+00:00,train,pgsql,aidac-pgsql,192.168.136.212,hr,app_user,normal_operation,read,SELECT,audit_log,"SELECT order_id, amount FROM orders WHERE order_date >= CURRENT_DATE - INTERVAL '7 days';",89,483,0,0,0,normal,INFO,0,none,0.0517,0.0,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000065,2026-06-01T00:18:08+00:00,train,mssql,aidac-mssql,192.168.136.142,inventory,svc_etl,normal_operation,write,UPDATE,customers,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 53873;,75,8,0,0,0,normal,INFO,0,none,0.3206,0.2926,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000066,2026-06-01T00:18:13+00:00,train,pgsql,aidac-pgsql,192.168.136.83,auditdb,app_user,normal_operation,reporting,SELECT,customers,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,485,0,0,0,normal,LOW,0,none,0.1103,0.0679,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000067,2026-06-01T00:18:41+00:00,train,mssql,aidac-mssql,192.168.136.129,crm,svc_report,normal_operation,reporting,SELECT,transactions,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,152,0,0,0,normal,INFO,0,none,0.2939,0.2512,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000068,2026-06-01T00:19:07+00:00,train,mssql,aidac-mssql,192.168.136.39,crm,readonly_user,normal_operation,read,SELECT,orders,"SELECT customer_id, status FROM customers WHERE customer_id = 164687;",69,122,0,0,0,normal,INFO,0,none,0.0674,0.0388,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000069,2026-06-01T00:19:32+00:00,train,pgsql,aidac-pgsql,192.168.136.136,inventory,dba_admin,normal_operation,reporting,SELECT,customers,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,144,0,0,0,normal,INFO,0,none,0.242,0.1773,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000070,2026-06-01T00:20:00+00:00,train,pgsql,aidac-pgsql,192.168.136.88,auditdb,svc_batch,normal_operation,maintenance,ALTER,orders,ALTER INDEX idx_orders_customer REBUILD;,40,7,0,0,0,normal,INFO,0,none,0.2237,0.2195,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000071,2026-06-01T00:20:28+00:00,train,mssql,aidac-mssql,192.168.136.89,billing,svc_batch,normal_operation,write,UPDATE,users,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 491466;,76,9,0,0,0,normal,LOW,0,none,0.2409,0.2103,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000072,2026-06-01T00:20:50+00:00,train,mssql,aidac-mssql,192.168.136.167,inventory,backup_user,normal_operation,read,SELECT,users,"SELECT customer_id, status FROM customers WHERE customer_id = 240045;",69,492,0,0,0,normal,INFO,0,none,0.2325,0.1625,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000073,2026-06-01T00:21:14+00:00,train,pgsql,aidac-pgsql,192.168.136.133,hr,svc_batch,backup_window,maintenance,ALTER,transactions,ALTER INDEX idx_orders_customer REBUILD;,40,15,0,0,1,normal,INFO,0,none,0.1813,0.1115,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000074,2026-06-01T00:21:30+00:00,train,mssql,aidac-mssql,192.168.136.239,inventory,report_user,normal_operation,maintenance,BACKUP,orders,BACKUP DATABASE billing TO DISK = '/backup/billing_full.bak';,61,10,0,0,0,normal,LOW,0,none,0.2311,0.2023,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000075,2026-06-01T00:21:48+00:00,train,pgsql,aidac-pgsql,192.168.136.217,auditdb,svc_backup,normal_operation,write,UPDATE,audit_log,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 329796;,76,8,0,0,0,normal,INFO,0,none,0.1167,0.0707,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000076,2026-06-01T00:22:08+00:00,train,pgsql,aidac-pgsql,192.168.136.214,inventory,app_user,normal_operation,write,INSERT,customers,"INSERT INTO audit_log(user_id, action, created_at) VALUES (652879, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,15,0,0,0,normal,INFO,0,none,0.2164,0.1977,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000077,2026-06-01T00:22:15+00:00,train,pgsql,aidac-pgsql,192.168.136.201,inventory,svc_etl,normal_operation,write,UPDATE,orders,UPDATE accounts SET last_seen = CURRENT_TIMESTAMP WHERE account_id = 660627;,76,19,0,0,0,normal,LOW,0,none,0.2738,0.2352,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000078,2026-06-01T00:22:35+00:00,train,pgsql,aidac-pgsql,192.168.136.147,core_banking,readonly_user,normal_operation,write,INSERT,payments,"INSERT INTO audit_log(user_id, action, created_at) VALUES (123173, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,20,0,0,0,normal,LOW,0,none,0.2846,0.249,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000079,2026-06-01T00:22:46+00:00,train,pgsql,aidac-pgsql,192.168.136.173,inventory,svc_etl,normal_operation,write,INSERT,users,"INSERT INTO audit_log(user_id, action, created_at) VALUES (151669, 'LOGIN_OK', CURRENT_TIMESTAMP);",98,12,0,0,0,normal,INFO,0,none,0.0729,0.0124,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000080,2026-06-01T00:22:57+00:00,train,mssql,aidac-mssql,192.168.136.168,inventory,backup_user,deployment_window,maintenance,ALTER,payments,ALTER INDEX idx_orders_customer REBUILD;,40,9,0,0,1,normal,LOW,0,none,0.2864,0.2258,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000081,2026-06-01T00:23:14+00:00,train,mssql,aidac-mssql,192.168.136.102,inventory,backup_user,normal_operation,reporting,SELECT,orders,SELECT count(*) FROM transactions WHERE status = 'SETTLED';,59,193,0,0,0,normal,INFO,0,none,0.1603,0.1203,allow,normal,controlled_sql_lab_47832_v1_seed42
EVT-000082,2026-06-01T00:23:24+00:00,train,mssql,aidac-mssql,192.168.136.189,inventory,app_user,backup_window,maintenance,ALTER,payments,ALTER INDEX idx_orders_customer REBUILD;,40,12,0,0,1,normal,INFO,0,none,0.1374,0.1027,allow,normal,controlled_sql_lab_47832_v1_seed42
