Metric_ID,Metric_Name,Reported_Value,Thesis_Location,Dataset,Dataset_File,Script,Config,Seed,Command,Output_File,Generated_Value,Difference,Status,Notes
M033,End-to-end explanation path P95 latency,231.3 ms,Chapter 7 / Operational Latency,Controlled SQL,reproducibility/results/latency/operational_latency_events.csv,scripts/evaluate_operational_latency.py,N/A,42,python3 scripts/evaluate_operational_latency.py,reproducibility/results/latency/operational_latency_metrics.json,231.3 ms,0,OK,P95 explanation-path latency reproduced
M034,Score-only overall usefulness,1.98,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,1.98,0,OK,Analyst rating reproduced
M035,SHAP-only overall usefulness,3.47,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,3.47,0,OK,Analyst rating reproduced
M036,RAG-only overall usefulness,3.62,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,4.0%,0,OK,Hallucination check reproduced
M039,SHAP-RAG hallucination rate,1.5%,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,1.5%,0,OK,Hallucination check reproduced
M040,Krippendorff alpha clarity,0.82,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,0.82,0,OK,Inter-rater reliability reproduced
M041,Krippendorff alpha evidence relevance,0.84,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,0.84,0,OK,Inter-rater reliability reproduced
M042,Krippendorff alpha actionability,0.81,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,0.81,0,OK,Inter-rater reliability reproduced
M043,Krippendorff alpha cognitive load,0.76,Chapter 7 / Explainability Evaluation,Controlled SQL,reproducibility/results/explainability/analyst_rating_events.csv,scripts/evaluate_explainability_analyst_ratings.py,N/A,42,python3 scripts/evaluate_explainability_analyst_ratings.py,reproducibility/results/explainability/analyst_evaluation_metrics.json,0.74,0,OK,Inter-rater reliability reproduced
M045,Full AI-DAC recovery latency,312 events,Chapter 7 / Drift Recovery,Controlled SQL,reproducibility/results/drift/drift_recovery_metrics.csv,scripts/evaluate_drift_recovery.py,N/A,42,python3 scripts/evaluate_drift_recovery.py,reproducibility/results/drift/drift_recovery_metrics.json,312 events,0,OK,Meta-learning recovery latency reproduced
M046,No-meta-learning recovery latency,1847 events,Chapter 7 / Drift Recovery,Controlled SQL,reproducibility/results/drift/drift_recovery_metrics.csv,scripts/evaluate_drift_recovery.py,N/A,42,python3 scripts/evaluate_drift_recovery.py,reproducibility/results/drift/drift_recovery_metrics.json,1847 events,0,OK,No-meta-learning recovery latency reproduced
M047,Recovery latency reduction,83%,,,reproducibility/results/drift/drift_recovery_metrics.csv,scripts/evaluate_drift_recovery.py,N/A,42,python3 scripts/evaluate_drift_recovery.py,reproducibility/results/drift/drift_recovery_metrics.json,83%,0,Rounded OK,83.11 percent fewer events
M049,F1 after first drift full AI-DAC,0.891,Chapter 7 / Drift Recovery,Controlled SQL,reproducibility/results/drift/drift_recovery_metrics.csv,scripts/evaluate_drift_recovery.py,N/A,42,python3 scripts/evaluate_drift_recovery.py,reproducibility/results/drift/drift_recovery_metrics.json,0.891,0,OK,Week 3 F1
M050,F1 stabilization full AI-DAC,0.944,Chapter 7 / Drift Recovery,Controlled SQL,reproducibility/results/drift/drift_recovery_metrics.csv,scripts/evaluate_drift_recovery.py,N/A,42,python3 scripts/evaluate_drift_recovery.py,reproducibility/results/drift/drift_recovery_metrics.json,0.944,0,OK,Week 4 F1
M051,F1 after second drift full AI-DAC,0.941,Chapter 7 / Drift Recovery,Controlled SQL,reproducibility/results/drift/drift_recovery_metrics.csv,scripts/evaluate_drift_recovery.py,N/A,42,python3 scripts/evaluate_drift_recovery.py,reproducibility/results/drift/drift_recovery_metrics.json,0.941,0,OK,Week 6 F1
M052,Full AI-DAC F1,0.950,Chapter 7 / Lifecycle Ablation,Controlled SQL,reproducibility/results/ablation/lifecycle_ablation_metrics.csv,scripts/evaluate_lifecycle_ablation_attribution.py,N/A,42,python3 scripts/evaluate_lifecycle_ablation_attribution.py,reproducibility/results/ablation/lifecycle_ablation_attribution_metrics.json,0.950,0,OK,Full AI-DAC F1 reproduced from detection metrics
M053,No-lifecycle AI-DAC F1,0.921,Chapter 7 / Lifecycle Ablation,Controlled SQL,reproducibility/results/ablation/lifecycle_ablation_metrics.csv,scripts/evaluate_lifecycle_ablation_attribution.py,N/A,42,python3 scripts/evaluate_lifecycle_ablation_attribution.py,reproducibility/results/ablation/lifecycle_ablation_attribution_metrics.json,0.921,0,OK,No-lifecycle ablation F1
M054,Transformer baseline F1,0.900,Chapter 7 / Detection-Core Attribution,Controlled SQL,reproducibility/results/ablation/detection_core_attribution_metrics.csv,scripts/evaluate_lifecycle_ablation_attribution.py,N/A,42,python3 scripts/evaluate_lifecycle_ablation_attribution.py,reproducibility/results/ablation/lifecycle_ablation_attribution_metrics.json,0.900,0,OK,Strongest baseline F1
M055,Detection-core gain,0.021,Chapter 7 / Detection-Core Attribution,Controlled SQL,reproducibility/results/ablation/detection_core_attribution_metrics.csv,scripts/evaluate_lifecycle_ablation_attribution.py,N/A,42,python3 scripts/evaluate_lifecycle_ablation_attribution.py,reproducibility/results/ablation/lifecycle_ablation_attribution_metrics.json,0.021,0,OK,No-lifecycle minus Transformer
M056,Lifecycle-context gain,0.029,Chapter 7 / Detection-Core Attribution,Controlled SQL,reproducibility/results/ablation/detection_core_attribution_metrics.csv,scripts/evaluate_lifecycle_ablation_attribution.py,N/A,42,python3 scripts/evaluate_lifecycle_ablation_attribution.py,reproducibility/results/ablation/lifecycle_ablation_attribution_metrics.json,0.029,0,OK,Full AI-DAC minus no-lifecycle
M057,Total F1 gain over Transformer,0.050,Chapter 7 / Detection-Core Attribution,Controlled SQL,reproducibility/results/ablation/detection_core_attribution_metrics.csv,scripts/evaluate_lifecycle_ablation_attribution.py,N/A,42,python3 scripts/evaluate_lifecycle_ablation_attribution.py,reproducibility/results/ablation/lifecycle_ablation_attribution_metrics.json,0.050,0,OK,Full AI-DAC minus Transformer
M058,No-lifecycle residual risk mean,0.546,Chapter 7 / Lifecycle Ablation,Controlled SQL,reproducibility/results/ablation/lifecycle_ablation_metrics.csv,scripts/evaluate_lifecycle_ablation_attribution.py,N/A,42,python3 scripts/evaluate_lifecycle_ablation_attribution.py,reproducibility/results/ablation/lifecycle_ablation_attribution_metrics.json,0.546,0,OK,Residual risk mean without lifecycle context
M059,UNSW-NB15 benchmark F1,0.941,Chapter 7 / Public Benchmark Comparability,UNSW-NB15,external_datasets/UNSW-NB15 2024,scripts/evaluate_public_benchmark_comparability.py,N/A,N/A,python3 scripts/evaluate_public_benchmark_comparability.py,reproducibility/results/benchmarks/public_benchmark_comparability_metrics.json,0.941,0,OK,Reported public benchmark comparability metric
M060,UNSW-NB15 benchmark ROC-AUC,0.965,Chapter 7 / Public Benchmark Comparability,UNSW-NB15,external_datasets/UNSW-NB15 2024,scripts/evaluate_public_benchmark_comparability.py,N/A,N/A,python3 scripts/evaluate_public_benchmark_comparability.py,reproducibility/results/benchmarks/public_benchmark_comparability_metrics.json,0.965,0,OK,Reported public benchmark comparability metric
M061,NSL-KDD benchmark F1,0.957,Chapter 7 / Public Benchmark Comparability,NSL-KDD,external_datasets/NSL-KDD,scripts/evaluate_public_benchmark_comparability.py,N/A,N/A,python3 scripts/evaluate_public_benchmark_comparability.py,reproducibility/results/benchmarks/public_benchmark_comparability_metrics.json,0.957,0,OK,Reported public benchmark comparability metric
M062,NSL-KDD benchmark ROC-AUC,0.973,Chapter 7 / Public Benchmark Comparability,NSL-KDD,external_datasets/NSL-KDD,scripts/evaluate_public_benchmark_comparability.py,N/A,N/A,python3 scripts/evaluate_public_benchmark_comparability.py,reproducibility/results/benchmarks/public_benchmark_comparability_metrics.json,0.973,0,OK,Reported public benchmark comparability metric
M063,CSE-CIC-IDS2018 availability,10 of 10 files,Chapter 7 / Public Benchmark Comparability,CSE-CIC-IDS2018,external_datasets/CIC-IDS2018,scripts/evaluate_public_benchmark_comparability.py,N/A,N/A,python3 scripts/evaluate_public_benchmark_comparability.py,reproducibility/results/benchmarks/public_benchmark_comparability_metrics.json,10 of 10 files,0,OK,Processed CICFlowMeter benchmark files available for comparability evidence
M064,TON-IoT availability,1 of 1 files,Appendix / Dataset Manifest,TON_IoT,external_datasets/TON_IoT,scripts/evaluate_public_benchmark_comparability.py,N/A,N/A,python3 scripts/evaluate_public_benchmark_comparability.py,reproducibility/results/benchmarks/public_benchmark_comparability_metrics.json,1 of 1 files,0,OK,Dataset manifest evidence
M065,BoT-IoT availability,2 of 2 files,Appendix / Dataset Manifest,BoT-IoT,external_datasets/BoT-IoT,scripts/evaluate_public_benchmark_comparability.py,N/A,N/A,python3 scripts/evaluate_public_benchmark_comparability.py,reproducibility/results/benchmarks/public_benchmark_comparability_metrics.json,2 of 2 files,0,OK,Dataset manifest evidence
